Month,Team Vesting,Team Vested,Investor Vesting,Investor Vested,DAO Vesting,DAO Vested,Emissions,Burn,Circulating Supply,Total Supply,Team Contribution,Investor Contribution,DAO Contribution,Emissions Contribution
61,0.0,260000000.0000001,0.0,260000000.0000001,0.0,479999999.99999964,3614894.0956577975,4107358.220310701,1119021773.1015234,315515980.2055927,260000000.0000001,260000000.0000001,479999999.99999964,119021773.10152373
62,0.0,260000000.0000001,0.0,260000000.0000001,0.0,479999999.99999964,3628536.054783581,4135442.624856711,1118514866.5314503,319144516.2603763,260000000.0000001,260000000.0000001,479999999.99999964,118514866.5314506
63,0.0,260000000.0000001,0.0,260000000.0000001,0.0,479999999.99999964,3649006.304049293,4112871.905280443,1118051000.9302192,322793522.56442547,260000000.0000001,260000000.0000001,479999999.99999964,118051000.93021935
64,0.0,260000000.0000001,0.0,260000000.0000001,0.0,479999999.99999964,3660168.016990446,4124452.972858365,1117586715.9743512,326453690.5814159,260000000.0000001,260000000.0000001,479999999.99999964,117586715.9743514
65,0.0,260000000.0000001,0.0,260000000.0000001,0.0,479999999.99999964,3672876.763236406,4223696.768674552,1117035895.968913,330126567.3446523,260000000.0000001,260000000.0000001,479999999.99999964,117035895.96891326
66,0.0,260000000.0000001,0.0,260000000.0000001,0.0,479999999.99999964,3692505.3906896687,4261718.343773508,1116466683.0158293,333819072.73534197,260000000.0000001,260000000.0000001,479999999.99999964,116466683.01582941
67,0.0,260000000.0000001,0.0,260000000.0000001,0.0,479999999.99999964,3709745.8845620775,4216469.232547518,1115959959.6678438,337528818.61990404,260000000.0000001,260000000.0000001,479999999.99999964,115959959.66784397
68,0.0,260000000.0000001,0.0,260000000.0000001,0.0,479999999.99999964,3720967.098444735,4276597.156302679,1115404329.6099858,341249785.7183488,260000000.0000001,260000000.0000001,479999999.99999964,115404329.60998604
69,0.0,260000000.0000001,0.0,260000000.0000001,0.0,479999999.99999964,3735659.130130119,4263859.331367044,1114876129.408749,344985444.8484789,260000000.0000001,260000000.0000001,479999999.99999964,114876129.4087491
70,0.0,260000000.0000001,0.0,260000000.0000001,0.0,479999999.99999964,3753471.050386539,4235180.487078945,1114394419.9720564,348738915.89886546,260000000.0000001,260000000.0000001,479999999.99999964,114394419.97205672
71,0.0,260000000.0000001,0.0,260000000.0000001,0.0,479999999.99999964,3766239.8974050204,4292121.802432447,1113868538.0670292,352505155.79627055,260000000.0000001,260000000.0000001,479999999.99999964,113868538.06702936
72,0.0,260000000.0000001,0.0,260000000.0000001,0.0,479999999.99999964,3780055.960449023,4356448.276222644,1113292145.7512555,356285211.7567196,260000000.0000001,260000000.0000001,479999999.99999964,113292145.75125575
73,0.0,260000000.0000001,0.0,260000000.0000001,0.0,479999999.99999964,3795466.2841279167,4302523.117160561,1112785088.918223,360080678.0408475,260000000.0000001,260000000.0000001,479999999.99999964,112785088.91822308
74,0.0,260000000.0000001,0.0,260000000.0000001,0.0,479999999.99999964,3810103.6513916566,4385041.41739528,1112210151.152219,363890781.69223917,260000000.0000001,260000000.0000001,479999999.99999964,112210151.15221947
75,0.0,260000000.0000001,0.0,260000000.0000001,0.0,479999999.99999964,3828823.560832049,4217279.165632998,1111821695.547418,367719605.2530712,260000000.0000001,260000000.0000001,479999999.99999964,111821695.5474185
76,0.0,260000000.0000001,0.0,260000000.0000001,0.0,479999999.99999964,3836654.1053584907,4379507.267401086,1111278842.3853757,371556259.3584297,260000000.0000001,260000000.0000001,479999999.99999964,111278842.38537589
77,0.0,260000000.0000001,0.0,260000000.0000001,0.0,479999999.99999964,3855783.1774491947,4360501.213994899,1110774124.34883,375412042.53587884,260000000.0000001,260000000.0000001,479999999.99999964,110774124.34883016
78,0.0,260000000.0000001,0.0,260000000.0000001,0.0,479999999.99999964,3866043.5108482204,4356382.882213373,1110283784.9774647,379278086.04672706,260000000.0000001,260000000.0000001,479999999.99999964,110283784.97746503
79,0.0,260000000.0000001,0.0,260000000.0000001,0.0,479999999.99999964,3873143.3512312104,4386047.616341851,1109770880.7123542,383151229.3979583,260000000.0000001,260000000.0000001,479999999.99999964,109770880.71235436
80,0.0,260000000.0000001,0.0,260000000.0000001,0.0,479999999.99999964,3885861.730015786,4307106.449306227,1109349635.9930637,387037091.1279741,260000000.0000001,260000000.0000001,479999999.99999964,109349635.99306393
81,0.0,260000000.0000001,0.0,260000000.0000001,0.0,479999999.99999964,3888149.9269910515,4397038.923902089,1108840746.9961529,390925241.05496514,260000000.0000001,260000000.0000001,479999999.99999964,108840746.99615288
82,0.0,260000000.0000001,0.0,260000000.0000001,0.0,479999999.99999964,3898138.3964311797,4434620.843122105,1108304264.5494616,394823379.45139635,260000000.0000001,260000000.0000001,479999999.99999964,108304264.54946196
83,0.0,260000000.0000001,0.0,260000000.0000001,0.0,479999999.99999964,3913096.4231344163,4496299.576446825,1107721061.3961494,398736475.8745308,260000000.0000001,260000000.0000001,479999999.99999964,107721061.39614958
84,0.0,260000000.0000001,0.0,260000000.0000001,0.0,479999999.99999964,3928409.756185495,4419626.318126167,1107229844.8342087,402664885.63071626,260000000.0000001,260000000.0000001,479999999.99999964,107229844.8342089
85,0.0,260000000.0000001,0.0,260000000.0000001,0.0,479999999.99999964,3933148.109328259,4418334.183312652,1106744658.7602243,406598033.74004453,260000000.0000001,260000000.0000001,479999999.99999964,106744658.76022452
86,0.0,260000000.0000001,0.0,260000000.0000001,0.0,479999999.99999964,3941833.9392896662,4443500.11010922,1106242992.5894046,410539867.6793342,260000000.0000001,260000000.0000001,479999999.99999964,106242992.589405
87,0.0,260000000.0000001,0.0,260000000.0000001,0.0,479999999.99999964,3946218.3412432116,4518322.450494594,1105670888.480153,414486086.0205773,260000000.0000001,260000000.0000001,479999999.99999964,105670888.48015356
88,0.0,260000000.0000001,0.0,260000000.0000001,0.0,479999999.99999964,3968796.587607832,4503392.811606222,1105136292.2561548,418454882.6081852,260000000.0000001,260000000.0000001,479999999.99999964,105136292.2561552
89,0.0,260000000.0000001,0.0,260000000.0000001,0.0,479999999.99999964,3978088.0034232163,4475971.469451594,1104638408.7901263,422432970.6116084,260000000.0000001,260000000.0000001,479999999.99999964,104638408.7901268
90,0.0,260000000.0000001,0.0,260000000.0000001,0.0,479999999.99999964,3986748.272582469,4534012.279317299,1104091144.7833917,426419718.88419086,260000000.0000001,260000000.0000001,479999999.99999964,104091144.78339195
91,0.0,260000000.0000001,0.0,260000000.0000001,0.0,479999999.99999964,4000070.477365263,4526178.218586339,1103565037.0421705,430419789.3615561,260000000.0000001,260000000.0000001,479999999.99999964,103565037.04217088
92,0.0,260000000.0000001,0.0,260000000.0000001,0.0,479999999.99999964,4010580.2725335998,4576504.291084603,1102999113.0236197,434430369.6340897,260000000.0000001,260000000.0000001,479999999.99999964,102999113.02361989
93,0.0,260000000.0000001,0.0,260000000.0000001,0.0,479999999.99999964,4030785.1106669777,4511398.440687109,1102518499.6935995,438461154.7447567,260000000.0000001,260000000.0000001,479999999.99999964,102518499.69359976
94,0.0,260000000.0000001,0.0,260000000.0000001,0.0,479999999.99999964,4039362.0744258557,4538955.560824103,1102018906.2072015,442500516.8191826,260000000.0000001,260000000.0000001,479999999.99999964,102018906.20720154
95,0.0,260000000.0000001,0.0,260000000.0000001,0.0,479999999.99999964,4047187.178253505,4546451.010071751,1101519642.375383,446547703.99743605,260000000.0000001,260000000.0000001,479999999.99999964,101519642.37538326
96,0.0,260000000.0000001,0.0,260000000.0000001,0.0,479999999.99999964,4050948.535775373,4507759.399499144,1101062831.5116594,450598652.5332114,260000000.0000001,260000000.0000001,479999999.99999964,101062831.5116595
